OA Code,Ward Name,LA Name,Region Name,QS606EW0096,QS606EW0001 (base),OA Percentage
E00021663,Shadwell,Tower Hamlets,London,10,100,10.0000,
E00021694,Spitalfields and Banglatown,Tower Hamlets,London,24,198,12.1200,
E00021615,St Katharine's and Wapping,Tower Hamlets,London,2,174,1.1500,
E00007891,Charlton,Greenwich,London,13,115,11.3000,
E00008490,Woolwich Common,Greenwich,London,11,114,9.6500,
E00008312,Peninsula,Greenwich,London,7,108,6.4800,
E00007886,Blackheath Westcombe,Greenwich,London,7,164,4.2700,
E00007909,Charlton,Greenwich,London,17,147,11.5600,
E00008179,Greenwich West,Greenwich,London,2,150,1.3300,
E00176547,Greenwich West,Greenwich,London,1,125,0.8000,
E00176513,Woolwich Riverside,Greenwich,London,5,198,2.5300,
E00008173,Greenwich West,Greenwich,London,4,138,2.9000,
E00176515,Greenwich West,Greenwich,London,6,106,5.6600,
E00008279,Peninsula,Greenwich,London,14,260,5.3800,
E00007873,Blackheath Westcombe,Greenwich,London,5,159,3.1400,
E00008530,Woolwich Riverside,Greenwich,London,9,74,12.1600,
E00004536,Holborn and Covent Garden,Camden,London,3,169,1.7800,
E00008393,Shooters Hill,Greenwich,London,8,174,4.6000,
E00004729,St Pancras and Somers Town,Camden,London,18,76,23.6800,
E00015688,Prince's,Lambeth,London,4,172,2.3300,
E00167251,Mile End and Globe Town,Tower Hamlets,London,44,193,22.8000,
E00021596,St Katharine's and Wapping,Tower Hamlets,London,12,204,5.8800,
E00015609,Larkhall,Lambeth,London,9,178,5.0600,
E00021517,Millwall,Tower Hamlets,London,19,177,10.7300,
E00004177,Bloomsbury,Camden,London,6,99,6.0600,
E00004731,St Pancras and Somers Town,Camden,London,6,165,3.6400,
E00004169,Bloomsbury,Camden,London,5,183,2.7300,
E00004552,Holborn and Covent Garden,Camden,London,9,122,7.3800,
E00004664,King's Cross,Camden,London,13,172,7.5600,
E00174661,King's Cross,Camden,London,18,128,14.0600,
E00015607,Larkhall,Lambeth,London,12,179,6.7000,
E00015686,Prince's,Lambeth,London,4,140,2.8600,
E00004744,St Pancras and Somers Town,Camden,London,21,128,16.4100,
E00015600,Larkhall,Lambeth,London,9,125,7.2000,
E00018193,Plaistow South,Newham,London,22,306,7.1900,
E00015681,Prince's,Lambeth,London,3,136,2.2100,
E00015398,Ferndale,Lambeth,London,19,258,7.3600,
E00018138,Plaistow North,Newham,London,32,204,15.6900,
E00017780,Custom House,Newham,London,18,167,10.7800,
E00015366,Coldharbour,Lambeth,London,20,138,14.4900,
E00017771,Custom House,Newham,London,11,183,6.0100,
E00004650,King's Cross,Camden,London,7,149,4.7000,
E00017679,Boleyn,Newham,London,27,193,13.9900,
E00017710,Canning Town North,Newham,London,9,103,8.7400,
E00015183,Bishop's,Lambeth,London,8,72,11.1100,
E00017701,Canning Town North,Newham,London,17,160,10.6300,
E00015495,Herne Hill,Lambeth,London,11,228,4.8200,
E00017874,East Ham South,Newham,London,7,59,11.8600,
E00015414,Ferndale,Lambeth,London,8,284,2.8200,
E00015650,Oval,Lambeth,London,9,195,4.6200,
E00016071,Vassall,Lambeth,London,14,132,10.6100,
E00015680,Prince's,Lambeth,London,5,165,3.0300,
E00015497,Herne Hill,Lambeth,London,13,126,10.3200,
E00017700,Canning Town North,Newham,London,7,113,6.1900,
E00017781,Custom House,Newham,London,12,153,7.8400,
E00015190,Bishop's,Lambeth,London,13,148,8.7800,
E00017772,Custom House,Newham,London,5,136,3.6800,
E00017791,Custom House,Newham,London,27,187,14.4400,
E00004547,Holborn and Covent Garden,Camden,London,10,167,5.9900,
E00018314,West Ham,Newham,London,7,117,5.9800,
E00174967,Canning Town South,Newham,London,3,67,4.4800,
E00175009,Wall End,Newham,London,26,141,18.4400,
E00175039,Beckton,Newham,London,4,105,3.8100,
E00017777,Custom House,Newham,London,11,246,4.4700,
